Jahr,Quartier,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num,MedianPreis_Baualter,Durchschnitt_Baujahr,Preis_Verhältnis,Quartier_Preisniveau,Quartier_Code
2024,Seefeld,3-Zimmer,1975000.0,20783.0,3,1606355.0,0.0,1.2294916129996172,1.0248441117732077,39
2024,Seefeld,4-Zimmer,2200000.0,22000.0,4,1976250.0,0.0,1.1132194813409235,1.0248441117732077,39
2024,Seefeld,5-Zimmer,1750000.0,13359.0,5,2454583.3333333335,0.0,0.7129519606178917,1.0248441117732077,39
2024,Seefeld,6-Zimmer und mehr,2175000.0,11569.0,6,3038774.0,0.0,0.7157491804260534,1.0248441117732077,39
2024,Mühlebach,1-Zimmer,775000.0,16015.0,1,810500.0,0.0,0.9561998766193708,1.4145692710273003,32
2024,Mühlebach,2-Zimmer,1280000.0,22857.0,2,1132250.0,0.0,1.1304923824243762,1.4145692710273003,32
2024,Mühlebach,3-Zimmer,1560000.0,23281.0,3,1606355.0,0.0,0.9711427424199508,1.4145692710273003,32
2024,Mühlebach,4-Zimmer,2975000.0,25815.0,4,1976250.0,0.0,1.5053763440860215,1.4145692710273003,32
2024,Mühlebach,5-Zimmer,2500000.0,16075.0,5,2454583.3333333335,0.0,1.0185028008827024,1.4145692710273003,32
2024,Mühlebach,6-Zimmer und mehr,4837000.0,30421.0,6,3038774.0,0.0,1.5917603612509519,1.4145692710273003,32
2024,Weinegg,1-Zimmer,1118580.0,18164.0,1,810500.0,0.0,1.380111042566317,1.3678550684617174,42
2024,Weinegg,2-Zimmer,1735000.0,26885.0,2,1132250.0,0.0,1.5323470964892911,1.3678550684617174,42
2024,Weinegg,3-Zimmer,1455000.0,19575.0,3,1606355.0,0.0,0.9057773655263002,1.3678550684617174,42
2024,Weinegg,4-Zimmer,3042000.0,21729.0,4,1976250.0,0.0,1.5392789373814042,1.3678550684617174,42
2024,Weinegg,5-Zimmer,3016500.0,17676.0,5,2454583.3333333335,0.0,1.2289254795450686,1.3678550684617174,42
2024,Weinegg,6-Zimmer und mehr,3100000.0,16705.0,6,3038774.0,0.0,1.0201482571589726,1.3678550684617174,42
2024,Kreis 9,1-Zimmer,1000000.0,12582.0,1,810500.0,0.0,1.2338062924120914,0.832978871069692,28
2024,Kreis 9,2-Zimmer,1015930.0,17103.0,2,1132250.0,0.0,0.8972665047471848,0.832978871069692,28
2024,Kreis 9,3-Zimmer,1354570.0,16667.0,3,1606355.0,0.0,0.8432569388460209,0.832978871069692,28
2024,Kreis 9,4-Zimmer,1625510.0,16761.0,4,1976250.0,0.0,0.8225224541429476,0.832978871069692,28
2024,Kreis 9,5-Zimmer,1775000.0,12998.0,5,2454583.3333333335,0.0,0.7231369886267187,0.832978871069692,28
2024,Kreis 9,6-Zimmer und mehr,1430000.0,8868.0,6,3038774.0,0.0,0.47058451862494544,0.832978871069692,28
2024,Albisrieden,1-Zimmer,400000.0,11042.0,1,810500.0,0.0,0.4935225169648365,0.747291136875913,1
2024,Albisrieden,2-Zimmer,1015930.0,17354.0,2,1132250.0,0.0,0.8972665047471848,0.747291136875913,1
2024,Albisrieden,3-Zimmer,1354570.0,16761.0,3,1606355.0,0.0,0.8432569388460209,0.747291136875913,1
2024,Albisrieden,4-Zimmer,1589380.0,16761.0,4,1976250.0,0.0,0.8042403542061987,0.747291136875913,1
2024,Albisrieden,5-Zimmer,1482500.0,12836.0,5,2454583.3333333335,0.0,0.6039721609234425,0.747291136875913,1
2024,Albisrieden,6-Zimmer und mehr,1515000.0,8868.0,6,3038774.0,0.0,0.49855632567607855,0.747291136875913,1
2024,Altstetten,1-Zimmer,1460000.0,12582.0,1,810500.0,0.0,1.8013571869216534,0.9343196009091965,3
2024,Altstetten,2-Zimmer,960000.0,16852.0,2,1132250.0,0.0,0.8478692868182822,0.9343196009091965,3
2024,Altstetten,3-Zimmer,1345000.0,14082.0,3,1606355.0,0.0,0.837299351637714,0.9343196009091965,3
2024,Altstetten,4-Zimmer,1870000.0,16418.0,4,1976250.0,0.0,0.946236559139785,0.9343196009091965,3
2024,Altstetten,5-Zimmer,1970000.0,15391.0,5,2454583.3333333335,0.0,0.8025802070955694,0.9343196009091965,3
2024,Altstetten,6-Zimmer und mehr,1593750.0,10105.0,6,3038774.0,0.0,0.524471382208746,0.9343196009091965,3
2024,Kreis 10,1-Zimmer,306705.0,7846.0,1,810500.0,0.0,0.37841455891425047,0.9691658242636657,18
2024,Kreis 10,2-Zimmer,943900.0,14650.0,2,1132250.0,0.0,0.8336498123206005,0.9691658242636657,18
2024,Kreis 10,3-Zimmer,1286220.0,13166.0,3,1606355.0,0.0,0.8007071911252494,0.9691658242636657,18
2024,Kreis 10,4-Zimmer,1680000.0,15910.0,4,1976250.0,0.0,0.8500948766603416,0.9691658242636657,18
2024,Kreis 10,5-Zimmer,1975000.0,15076.0,5,2454583.3333333335,0.0,0.8046172126973349,0.9691658242636657,18
2024,Kreis 10,6-Zimmer und mehr,3350000.0,16919.0,6,3038774.0,0.0,1.1024182778975995,0.9691658242636657,18
