Jahr,Quartier,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num
2010,Kreis 5,2-Zimmer,740000.0,9683.0,2
2010,Kreis 5,3-Zimmer,865000.0,8271.0,3
2010,Kreis 5,4-Zimmer,1010000.0,7984.0,4
2010,Kreis 5,5-Zimmer,1795000.0,10120.0,5
2010,Kreis 5,6-Zimmer und mehr,3791005.0,11937.0,6
2010,Gewerbeschule,1-Zimmer,450000.0,11325.0,1
2010,Gewerbeschule,2-Zimmer,220000.0,3607.0,2
2010,Gewerbeschule,3-Zimmer,627390.0,6267.0,3
2010,Gewerbeschule,4-Zimmer,767640.0,6267.0,4
2010,Gewerbeschule,5-Zimmer,1795000.0,8349.0,5
2010,Gewerbeschule,6-Zimmer und mehr,1340000.0,7053.0,6
2010,Escher Wyss,1-Zimmer,1300000.0,10153.0,1
2010,Escher Wyss,2-Zimmer,765000.0,10070.0,2
2010,Escher Wyss,3-Zimmer,893500.0,8318.0,3
2010,Escher Wyss,4-Zimmer,1045000.0,8280.0,4
2010,Escher Wyss,5-Zimmer,1770000.0,11548.0,5
2010,Escher Wyss,6-Zimmer und mehr,6242010.0,16821.0,6
2010,Kreis 6,1-Zimmer,249040.0,5119.0,1
2010,Kreis 6,2-Zimmer,515000.0,6964.0,2
2010,Kreis 6,3-Zimmer,820000.0,8404.0,3
2010,Kreis 6,4-Zimmer,1000000.0,7692.0,4
2010,Kreis 6,5-Zimmer,1160000.0,8519.0,5
2010,Kreis 6,6-Zimmer und mehr,1970000.0,10591.0,6
2010,Unterstrass,1-Zimmer,100000.0,5000.0,1
2010,Unterstrass,2-Zimmer,515000.0,6964.0,2
2010,Unterstrass,3-Zimmer,815000.0,8364.0,3
2010,Unterstrass,4-Zimmer,960000.0,7682.0,4
2010,Unterstrass,5-Zimmer,1155000.0,8360.0,5
2010,Unterstrass,6-Zimmer und mehr,1970000.0,10591.0,6
2010,Oberstrass,1-Zimmer,398080.0,5238.0,1
2010,Oberstrass,2-Zimmer,850000.0,12111.0,2
2010,Oberstrass,3-Zimmer,1500000.0,12500.0,3
2010,Oberstrass,4-Zimmer,1457000.0,14556.0,4
2010,Oberstrass,5-Zimmer,1680000.0,10370.0,5
2010,Oberstrass,6-Zimmer und mehr,2690000.0,15669.0,6
2010,Kreis 7,1-Zimmer,405000.0,11168.0,1
2010,Kreis 7,2-Zimmer,878130.0,11651.0,2
2010,Kreis 7,3-Zimmer,901260.0,9403.0,3
2010,Kreis 7,4-Zimmer,1670000.0,12251.0,4
2010,Kreis 7,5-Zimmer,2009000.0,12679.0,5
2010,Kreis 7,6-Zimmer und mehr,3075000.0,12900.0,6
