Jahr,Baualter,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num,Baujahr
2016,Neubauten (0–1 Jahre),5-Zimmer,1825000,11598,5,
2016,2–9 Jahre,5-Zimmer,2050000,10938,5,
2016,10–19 Jahre,5-Zimmer,3060000,14037,5,
2016,Altbauten (umgebaut),5-Zimmer,1400000,10000,5,
2016,Altbauten (nicht umgebaut),5-Zimmer,1685000,11706,5,
2016,Total,5-Zimmer,1755000,11607,5,
2016,Neubauten (0–1 Jahre),6-Zimmer und mehr,3682500,15412,6,
2016,2–9 Jahre,6-Zimmer und mehr,4150000,16148,6,
2016,10–19 Jahre,6-Zimmer und mehr,1515000,7463,6,
2016,Altbauten (umgebaut),6-Zimmer und mehr,6640000,10779,6,
2016,Altbauten (nicht umgebaut),6-Zimmer und mehr,1975000,12421,6,
2016,Total,6-Zimmer und mehr,2372500,12153,6,
2017,Neubauten (0–1 Jahre),1-Zimmer,1667160,16673,1,
2017,2–9 Jahre,1-Zimmer,965000,16909,1,
2017,Altbauten (umgebaut),1-Zimmer,850000,12174,1,
2017,Altbauten (nicht umgebaut),1-Zimmer,360000,11207,1,
2017,Total,1-Zimmer,410000,12152,1,
2017,Neubauten (0–1 Jahre),2-Zimmer,775320,10969,2,
2017,2–9 Jahre,2-Zimmer,1227500,13746,2,
2017,10–19 Jahre,2-Zimmer,890000,17800,2,
2017,Altbauten (umgebaut),2-Zimmer,1020000,12643,2,
2017,Altbauten (nicht umgebaut),2-Zimmer,625000,10000,2,
2017,Total,2-Zimmer,899150,12209,2,
2017,Neubauten (0–1 Jahre),3-Zimmer,1176200,11818,3,
2017,2–9 Jahre,3-Zimmer,1575000,13218,3,
2017,10–19 Jahre,3-Zimmer,1001000,12963,3,
2017,Altbauten (umgebaut),3-Zimmer,1510000,15556,3,
2017,Altbauten (nicht umgebaut),3-Zimmer,795000,9815,3,
2017,Total,3-Zimmer,1110000,12136,3,
2017,Neubauten (0–1 Jahre),4-Zimmer,1395000,10466,4,
2017,2–9 Jahre,4-Zimmer,1530000,11455,4,
2017,10–19 Jahre,4-Zimmer,1841000,12903,4,
2017,Altbauten (umgebaut),4-Zimmer,1720000,13760,4,
2017,Altbauten (nicht umgebaut),4-Zimmer,1225000,11862,4,
2017,Total,4-Zimmer,1450000,11862,4,
2017,Neubauten (0–1 Jahre),5-Zimmer,1835000,11944,5,
2017,2–9 Jahre,5-Zimmer,2450000,14212,5,
2017,10–19 Jahre,5-Zimmer,2655000,12607,5,
2017,Altbauten (umgebaut),5-Zimmer,2350000,13429,5,
2017,Altbauten (nicht umgebaut),5-Zimmer,1500000,11256,5,
2017,Total,5-Zimmer,1867500,12554,5,
2017,Neubauten (0–1 Jahre),6-Zimmer und mehr,6725000,24018,6,
2017,2–9 Jahre,6-Zimmer und mehr,4705000,16250,6,
2017,10–19 Jahre,6-Zimmer und mehr,4000000,15992,6,
2017,Altbauten (umgebaut),6-Zimmer und mehr,3045000,12246,6,
2017,Altbauten (nicht umgebaut),6-Zimmer und mehr,2170000,13646,6,
2017,Total,6-Zimmer und mehr,3055000,13675,6,
2018,2–9 Jahre,1-Zimmer,810000,9940,1,
2018,10–19 Jahre,1-Zimmer,217000,12809,1,
2018,Altbauten (umgebaut),1-Zimmer,1840000,13143,1,
2018,Altbauten (nicht umgebaut),1-Zimmer,348960,13333,1,
2018,Total,1-Zimmer,730000,10948,1,
2018,Neubauten (0–1 Jahre),2-Zimmer,735000,12241,2,
2018,2–9 Jahre,2-Zimmer,1445000,11691,2,
2018,10–19 Jahre,2-Zimmer,1650000,15421,2,
2018,Altbauten (umgebaut),2-Zimmer,780000,11696,2,
2018,Altbauten (nicht umgebaut),2-Zimmer,677500,10045,2,
2018,Total,2-Zimmer,750000,11696,2,
2018,Neubauten (0–1 Jahre),3-Zimmer,1010000,11092,3,
2018,2–9 Jahre,3-Zimmer,1445000,13143,3,
2018,10–19 Jahre,3-Zimmer,1322500,14527,3,
2018,Altbauten (umgebaut),3-Zimmer,1460000,14582,3,
2018,Altbauten (nicht umgebaut),3-Zimmer,805000,10000,3,
2018,Total,3-Zimmer,1020000,11425,3,
2018,Neubauten (0–1 Jahre),4-Zimmer,1395000,11752,4,
2018,2–9 Jahre,4-Zimmer,1680000,11565,4,
2018,10–19 Jahre,4-Zimmer,1420000,11611,4,
2018,Altbauten (umgebaut),4-Zimmer,1860000,14220,4,
2018,Altbauten (nicht umgebaut),4-Zimmer,969500,10387,4,
2018,Total,4-Zimmer,1360000,11556,4,
2018,Neubauten (0–1 Jahre),5-Zimmer,1680000,12347,5,
2018,2–9 Jahre,5-Zimmer,2440750,14390,5,
2018,10–19 Jahre,5-Zimmer,1950000,12020,5,
2018,Altbauten (umgebaut),5-Zimmer,1555000,11870,5,
2018,Altbauten (nicht umgebaut),5-Zimmer,1737500,12532,5,
2018,Total,5-Zimmer,1755000,12481,5,
2018,Neubauten (0–1 Jahre),6-Zimmer und mehr,2575000,12945,6,
2018,2–9 Jahre,6-Zimmer und mehr,2560000,12814,6,
2018,Altbauten (umgebaut),6-Zimmer und mehr,3600000,17995,6,
2018,Altbauten (nicht umgebaut),6-Zimmer und mehr,2500000,13812,6,
2018,Total,6-Zimmer und mehr,2575000,13812,6,
2019,Neubauten (0–1 Jahre),1-Zimmer,625000,14038,1,
2019,2–9 Jahre,1-Zimmer,1480000,10571,1,
2019,10–19 Jahre,1-Zimmer,925000,14516,1,
2019,Altbauten (umgebaut),1-Zimmer,1180000,13296,1,
2019,Altbauten (nicht umgebaut),1-Zimmer,394600,13980,1,
2019,Total,1-Zimmer,525000,13352,1,
2019,Neubauten (0–1 Jahre),2-Zimmer,850000,13254,2,
2019,2–9 Jahre,2-Zimmer,1350000,12595,2,
2019,10–19 Jahre,2-Zimmer,1190000,17458,2,
2019,Altbauten (umgebaut),2-Zimmer,1225000,17421,2,
2019,Altbauten (nicht umgebaut),2-Zimmer,615000,11161,2,
2019,Total,2-Zimmer,815500,12353,2,
2019,Neubauten (0–1 Jahre),3-Zimmer,1407500,15834,3,
2019,2–9 Jahre,3-Zimmer,1497500,14469,3,
2019,10–19 Jahre,3-Zimmer,1300000,12498,3,
2019,Altbauten (umgebaut),3-Zimmer,1280000,13499,3,
2019,Altbauten (nicht umgebaut),3-Zimmer,850000,10465,3,
2019,Total,3-Zimmer,1225000,13239,3,
2019,Neubauten (0–1 Jahre),4-Zimmer,1441500,12334,4,
2019,2–9 Jahre,4-Zimmer,2145000,16319,4,
2019,10–19 Jahre,4-Zimmer,1285000,10247,4,
2019,Altbauten (umgebaut),4-Zimmer,1650000,17083,4,
2019,Altbauten (nicht umgebaut),4-Zimmer,1225000,11789,4,
2019,Total,4-Zimmer,1380000,12376,4,
2019,Neubauten (0–1 Jahre),5-Zimmer,1527500,12314,5,
2019,2–9 Jahre,5-Zimmer,2550000,16448,5,
2019,10–19 Jahre,5-Zimmer,2537120,13940,5,
2019,Altbauten (umgebaut),5-Zimmer,2359000,18441,5,
2019,Altbauten (nicht umgebaut),5-Zimmer,1500000,11967,5,
2019,Total,5-Zimmer,1750000,12950,5,
2019,Neubauten (0–1 Jahre),6-Zimmer und mehr,1890000,11386,6,
2019,10–19 Jahre,6-Zimmer und mehr,3575280,12143,6,
2019,Altbauten (umgebaut),6-Zimmer und mehr,1640000,9591,6,
2019,Altbauten (nicht umgebaut),6-Zimmer und mehr,1909500,10957,6,
2019,Total,6-Zimmer und mehr,1845000,11147,6,
2020,2–9 Jahre,1-Zimmer,1120000,20000,1,
2020,10–19 Jahre,1-Zimmer,2545000,15688,1,
2020,Altbauten (umgebaut),1-Zimmer,631000,13214,1,
2020,Altbauten (nicht umgebaut),1-Zimmer,366380,10202,1,
2020,Total,1-Zimmer,388080,11270,1,
2020,Neubauten (0–1 Jahre),2-Zimmer,955000,13534,2,
2020,2–9 Jahre,2-Zimmer,1060000,16000,2,
2020,10–19 Jahre,2-Zimmer,1430000,14361,2,
2020,Altbauten (umgebaut),2-Zimmer,1179500,17582,2,
2020,Altbauten (nicht umgebaut),2-Zimmer,659560,12990,2,
2020,Total,2-Zimmer,868000,13063,2,
2020,Neubauten (0–1 Jahre),3-Zimmer,1377500,13733,3,
2020,2–9 Jahre,3-Zimmer,1477500,15080,3,
2020,10–19 Jahre,3-Zimmer,1850000,16372,3,
2020,Altbauten (umgebaut),3-Zimmer,1620000,15882,3,
2020,Altbauten (nicht umgebaut),3-Zimmer,822730,11062,3,
2020,Total,3-Zimmer,1172500,13133,3,
2020,Neubauten (0–1 Jahre),4-Zimmer,1570000,13155,4,
2020,2–9 Jahre,4-Zimmer,2075000,15495,4,
2020,10–19 Jahre,4-Zimmer,1817000,13608,4,
2020,Altbauten (umgebaut),4-Zimmer,2331990,19028,4,
